source,snapshot_timestamp,pre_deadline_proof,seasons_gws_covered,fields,identity_join,reproducible,verdict
Randdalf/fplcache (GitHub; LZMA bootstrap-static),path year/month/day/HHMM.json.xz (treated as UTC),filename capture clock; select last snap <= events[].deadline_time; spot-check shows post-deadline snaps on same day must be excluded,continuous cache 2021-04-18→2026-09-06; 2022-23:38/38 max_lag_h=6.15; 2023-24:38/38 max_lag_h=5.68; 2024-25:38/38 max_lag_h=5.98; 2025-26:38/38 max_lag_h=5.58; ALL panel GWs have last snap <= deadline,"status, chance_of_playing_this/next_round, news, news_added (+ full bootstrap)",elements[].id and elements[].code,yes — pin repo SHA + path; 4x/day GHA cache,PASS
Vaastav Fantasy-Premier-League season-end players_raw.csv,none (season dump / evolving file),no — HARNESS_SPEC excludes undated chance_*/news,panel seasons as end-state only,"status, chance_*, news (final values)",id / code,yes (pinned commit),REJECT
Live FPL api/bootstrap-static/,HTTP request time only,N/A for historical panel,current season live state only,"status, chance_*, news",id / code,yes for live; no historical replay,REJECT
olbauday/FPL-Core-Insights By Gameweek playerstats,GW folder label; README: end-of-gameweek state,weak/fail — documents end-of-GW not pre-deadline capture clock,2025-26 has GW1–38 folders; 2024-25 flat (no By Gameweek); not 2022-24,"chance_*, status, news (claimed)",player id,yes if pinned commit,REJECT
Internet Archive CDX of bootstrap-static,Wayback timestamp,yes when capture ts <= deadline,sparse (CDX sample from 2019+; not 4x/day panel density),full bootstrap when archived,id / code,yes via CDX URL+timestamp,REJECT_FOR_PANEL
martgra/fpl-timeseries-data (Azure blobs),%Y-%m-%dT%H:%M:%SZ filename (claimed),possible if blobs retained,stale — last push ~2021-09; outside panel,bootstrap-static,id / code,uncertain (Azure access / retention),REJECT
Jiayu S3 fpl-2018-19-data (historical blog),filename ISO (twice daily),yes for 2018-19,2018-19 only — outside panel,bootstrap-static,id / code,if S3 still public,REJECT
Official FPL element-summary history,per-match history rows; no status timeline,does not timestamp chance_*/status,match history across seasons,minutes/points history — not availability status,element id,yes,REJECT
Understat / FBRef lineups,match/event time (usually post-KO),fail for pre-deadline decision cutoff,broad,lineups / xG — not FPL chance_*,fuzzy name,partial,REJECT
Project self-capture going forward (engine.capture / bootstrap cache),controlled local stamp,yes by design,future GWs only — cannot backfill panel,chosen bootstrap fields,id / code,yes,PASS_FUTURE_ONLY
